No,post_id,views_inc,cum_views,ts_iso
1,1001,11,11,2025-09-16 14:35:00
2,1001,45,56,2025-09-16 15:35:00
3,1001,51,107,2025-09-16 16:35:00
4,1001,14,121,2025-09-16 17:35:00
5,1001,60,181,2025-09-16 18:35:00
6,1001,27,208,2025-09-16 19:35:00
7,1001,58,266,2025-09-16 20:35:00
8,1001,60,326,2025-09-16 21:35:00
9,1001,35,361,2025-09-16 22:35:00
10,1001,16,377,2025-09-16 23:35:00
11,1001,5,382,2025-09-17 00:35:00
12,1001,8,390,2025-09-17 01:35:00
13,1001,5,395,2025-09-17 02:35:00
14,1001,5,400,2025-09-17 03:35:00
15,1001,11,411,2025-09-17 04:35:00
16,1001,23,434,2025-09-17 05:35:00
17,1001,14,448,2025-09-17 06:35:00
18,1001,36,484,2025-09-17 07:35:00
19,1001,60,544,2025-09-17 08:35:00
20,1001,28,572,2025-09-17 09:35:00
21,1001,60,632,2025-09-17 10:35:00
22,1001,60,692,2025-09-17 11:35:00
23,1001,60,752,2025-09-17 12:35:00
24,1001,33,785,2025-09-17 13:35:00
25,1001,45,830,2025-09-17 14:35:00
26,1001,10,840,2025-09-17 15:35:00
27,1002,27,27,2025-09-16 14:35:00
28,1002,36,63,2025-09-16 15:35:00
29,1002,18,81,2025-09-16 16:35:00
30,1002,26,107,2025-09-16 17:35:00
31,1002,60,167,2025-09-16 18:35:00
32,1002,60,227,2025-09-16 19:35:00
33,1002,51,278,2025-09-16 20:35:00
34,1002,60,338,2025-09-16 21:35:00
35,1002,27,365,2025-09-16 22:35:00
36,1002,24,389,2025-09-16 23:35:00
37,1002,12,401,2025-09-17 00:35:00
38,1002,12,413,2025-09-17 01:35:00
39,1002,10,423,2025-09-17 02:35:00
40,1002,5,428,2025-09-17 03:35:00
41,1002,5,433,2025-09-17 04:35:00
42,1002,16,449,2025-09-17 05:35:00
43,1003,9,9,2025-09-18 14:35:00
44,1003,8,17,2025-09-18 15:35:00
45,1003,41,58,2025-09-18 16:35:00
46,1003,1,59,2025-09-18 17:35:00
